"id","content","source","image","video","publishedAt","createdAt","updatedAt","license","fromURL","summary","lifespan","totalAffectedPersons","adminArea1","adminArea2","adminArea3","adminArea4","adminArea5","tags","longitude","latitude"
"jr6VvFarTH-zxtZGrMMSXg","Sierra Leone makes harbouring #Ebola victims a crime http://t.co/wLqAlXqqC4 #SierraLeone","twitter",,,"2014-08-23T17:19:11+00:00","2014-08-23T18:14:05.243388","2014-08-23T18:16:51.763649","twitter",,"Sierra Leone makes harbouring #Ebola victims a crime http://t.co/wLqAlXqqC4 #SierraLeone","temporary",,"General-conflict",,,,,"",,
"FmLL-J0FTMuA5ggTVjf-fg","Ivory Coast closes western borders over #Ebola threat http://t.co/VWvRtkOjNS #IvoryCoast","twitter",,,"2014-08-23T12:06:42+00:00","2014-08-23T12:13:45.369030","2014-08-23T12:13:59.022663","twitter",,"Ivory Coast closes western borders over #Ebola threat http://t.co/VWvRtkOjNS #IvoryCoast","temporary",,"General-conflict",,,,,"",,
"QOSNXg-VQNOfswIMVPHMFw","Philippines recalls peacekeepers from #Liberia over #Ebola threat http://t.co/P7IBZoutYX #EbolaOutbreak #Philippines","twitter",,,"2014-08-23T09:35:04+00:00","2014-08-23T10:13:39.056178","2014-08-23T10:14:19.808856","twitter",,"Philippines recalls peacekeepers from #Liberia over #Ebola threat http://t.co/P7IBZoutYX #EbolaOu...","temporary",,"General-conflict",,,,,"peacekeepers",,
"GXdxudxnSpKwRslpWQDcvg","Death toll in West Africa #Ebola epidemic rises to 1,427 - #WHO\nhttp://t.co/zaetY5T8T7","twitter",,,"2014-08-22T20:03:28+00:00","2014-08-22T20:12:52.692339","2014-08-22T20:15:16.084795","twitter",,"Death toll in West Africa #Ebola epidemic rises to 1,427 - #WHO\nhttp://t.co/zaetY5T8T7","temporary",,"General-conflict",,,,,"epidemic|disaster|donation",,
"zWy4ITX0QEapc32xUfQbgw","April 23\n\nhttp://reliefweb.int/sites/reliefweb.int/files/resources/24_april_Ebola%20Viral%20Disease-Sit%20Rep-%2016-%2024th%20%20April%202014.pdf \n\n16 of april 2014 \n\n4  patients at Phebe Hospital in Bong County and 1 new suspected case in Bong county.\n\nhttp://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014.pdf \n\nhttp://www.business-standard.com/article/news-ians/liberia-steps-up-measures-to-control-ebola-virus-114041600145_1.html \n\n2nd of april 2014 \n\n(under observation, may 2014  have Lassa fever, patients include one nine-year-old child)\n\nhttp://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Liberia%20SitRep%20%23%208%20Ebola%20Fever%20-%202%20April%202014.pdf \n","osm",,,"2014-08-22T19:27:15.503265","2014-08-22T19:27:15.550017","2014-08-22T19:27:15.550031","odbl","http://reliefweb.int/sites/reliefweb.int/files/resources/24_april_Ebola%20Viral%20Disease-Sit%20Rep-%2016-%2024th%20%20April%202014.pdf","April 23\n\nhttp://reliefweb.int/sites/reliefweb.int/files/resources/24_april_Ebola%20Viral%20Disease-Sit%20Rep-%2016-%2024th%20%20April%202014.pdf \n\n16 of april 2014 \n\n4  patients at Phebe Hospital in Bong County and 1 new suspected case in Bong county.\n\nhttp://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014.pdf \n\nhttp://www.business-standard.com/article/news-ians/liberia-steps-up-measures-to-control-ebola-virus-114041600145_1.html \n\n2nd of april 2014 \n\n(under observation, may 2014  have Lassa fever, patients include one nine-year-old child)\n\nhttp://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Liberia%20SitRep%20%23%208%20Ebola%20Fever%20-%202%20April%202014.pdf \n","temporary",1,,,,,,"ebola|disease|disaster",-9.551925659179686,7.034794176519724
"bfmwnGvwQ-yGxN7VS9lMVQ"," Apr 7, 2014 1:00pm GMT - Fatal virus in Ghana tests negative for Ebola - http://af.reuters.com/article/sierraLeoneNews/idAFL6N0MZ3BA20140407 \n\nApril 6, 2014: 12:21 - Ghana records first suspected case of ebola / Le Ghana enregistre son premier cas suspecté d'Ebola- http://edition.radioxyzonline.com/pages/news/04062014-1221/18998.stm  \n\n6th april 2014 , 2014 - KATH investigates suspected Ebola case - http://www.ghananewsagency.org/health/kath-investigates-suspected-ebola-case-73170 \n\nvia http://crofsblogs.typepad.com/h5n1/2014/04/ghana-records-first-suspected-case-of-ebola.html  ","osm",,,"2014-08-22T19:27:14.946152","2014-08-22T19:27:15.107419","2014-08-22T19:27:15.107430","odbl","http://af.reuters.com/article/sierraLeoneNews/idAFL6N0MZ3BA20140407"," Apr 7, 2014 1:00pm GMT - Fatal virus in Ghana tests negative for Ebola - http://af.reuters.com/article/sierraLeoneNews/idAFL6N0MZ3BA20140407 \n\nApril 6, 2014: 12:21 - Ghana records first suspected case of ebola / Le Ghana enregistre son premier cas suspecté d'Ebola- http://edition.radioxyzonline.com/pages/news/04062014-1221/18998.stm  \n\n6th april 2014 , 2014 - KATH investigates suspected Ebola case - http://www.ghananewsagency.org/health/kath-investigates-suspected-ebola-case-73170 \n\nvia http://crofsblogs.typepad.com/h5n1/2014/04/ghana-records-first-suspected-case-of-ebola.html  ","temporary",1,,,,,,"ebola|disease|disaster",-1.6233158111572266,6.698280426597897
"0cTdky9_T6u6DVi-oB9jsw","March 26, 2014\nhttp://www.thestarphoenix.com/health/Ebola+Marburg+ruled/9662379/story.html\n\nCanada - 25/3/14\n\nhttp://yhoo.it/1mvlz8t","osm",,,"2014-08-22T19:27:14.944453","2014-08-22T19:27:15.006089","2014-08-22T19:27:15.006104","odbl","http://www.thestarphoenix.com/health/Ebola+Marburg+ruled/9662379/story.html","March 26, 2014\nhttp://www.thestarphoenix.com/health/Ebola+Marburg+ruled/9662379/story.html\n\nCanada - 25/3/14\n\nhttp://yhoo.it/1mvlz8t","temporary",1,,,,,,"ebola|disease|disaster",-106.6552734375,52.14697334064471
"Cq6Wwp0PRUuwqEP5z3G2Wg","July 14\n\nReports from Macauley Street Satellite Hospital in Freetown, say they recently confirmed that a suspected Ebola who was admitted at the facility has escaped.\n\nSources at the Macauley Street Satellite Hospital claim that a nurse known as Basiru from Daru arrived at the hospital claiming he had come to Freetown to sit to a public examination last week Saturday.\n\nHowever, by Monday this week, this person allegedly began showing symptoms of diarrhea and upon an authorized Dr. Kamara (the Lab Manager’s) visit to the facility, he detected that the victim had contracted Ebola and had in fact been at the Kailahun Government Hospital.\n\nImmediately, according to the sources, the patient was referred to a bigger health facility but there was no relative to look after him. The victim’s girlfriend who happened to be a nurse residing at New England Ville was also found to be Ebola positive according to the sources.\n\n“Both of them have since been transferred to the Kenema Ebola treatment center,” Tamba M. Abu, Assistant Physician at Macauley Street Satellite Hospital told this press.\nAccording to the Matron and Medical Superintendent at the hospital, they are mindful that people are at risk and that this is why they have not only chlorinated the room where the victim was admitted but have done the same to the entire facility. “The hospital is in close surveillance for signs and symptoms from patients coming to the hospital. We are conducting contact tracing on all those that were on observation at the facility. We have safely disposed all properties belonging to the victims by burning,” a health official said.\nIt should be recalled that a couple of weeks ago, a confirmed case of Ebola was detected at Sumaila Town but the victim was quickly taken away.\nHowever, there is a growing fear that with these Ebola escape cases becoming more frequent,\nthere is a growing risk of it spreading to unprotected persons and areas; little wonder that law enforcement agencies have been co-opted to help.""\n\nhttp://www.sierraleonenewshunters.com/article/police-hunt-escaped-ebola-victim\n\n","osm",,,"2014-08-22T19:27:14.776011","2014-08-22T19:27:14.776377","2014-08-22T19:27:14.776386","odbl","http://www.sierraleonenewshunters.com/article/police-hunt-escaped-ebola-victim","July 14\n\nReports from Macauley Street Satellite Hospital in Freetown, say they recently confirmed that a suspected Ebola who was admitted at the facility has escaped.\n\nSources at the Macauley Street Satellite Hospital claim that a nurse known as Basiru from Daru arrived at the hospital claiming he had come to Freetown to sit to a public examination last week Saturday.\n\nHowever, by Monday this week, this person allegedly began showing symptoms of diarrhea and upon an authorized Dr. Kamara (the Lab Manager’s) visit to the facility, he detected that the victim had contracted Ebola and had in fact been at the Kailahun Government Hospital.\n\nImmediately, according to the sources, the patient was referred to a bigger health facility but there was no relative to look after him. The victim’s girlfriend who happened to be a nurse residing at New England Ville was also found to be Ebola positive according to the sources.\n\n“Both of them have since been transferred to the Kenema Ebola treatment center,” Tamba M. Abu, Assistant Physician at Macauley Street Satellite Hospital told this press.\nAccording to the Matron and Medical Superintendent at the hospital, they are mindful that people are at risk and that this is why they have not only chlorinated the room where the victim was admitted but have done the same to the entire facility. “The hospital is in close surveillance for signs and symptoms from patients coming to the hospital. We are conducting contact tracing on all those that were on observation at the facility. We have safely disposed all properties belonging to the victims by burning,” a health official said.\nIt should be recalled that a couple of weeks ago, a confirmed case of Ebola was detected at Sumaila Town but the victim was quickly taken away.\nHowever, there is a growing fear that with these Ebola escape cases becoming more frequent,\nthere is a growing risk of it spreading to unprotected persons and areas; little wonder that law enforcement agencies have been co-opted to help.""\n\nhttp://www.sierraleonenewshunters.com/article/police-hunt-escaped-ebola-victim\n\n","temporary",1,,,,,,"ebola|disease|disaster",-13.266334533691406,8.49236430464844
"XGAr-Km5THyAPzVDAjnbvw","July 20\n\nPlease, help us to verify .\n\n""Another patient has escaped from an isolation unit in Sierra Leone. This time, the patient escaped from a health facility in Mattru Jong, Bonthe. The SAD news though is that unlike the escaped suspected patient from Freetown's PCMH, whose blood tests results later showed negative, this escaped patient's blood results have tested POSITIVE for Ebola. Reports however indicate that the escaped patient has been sighted vomiting blood at a certain junction locality between Mattru Jong and Bo. He has now been collected from that junction and moved to Kenema Ebola ward.""\n\nhttps://www.facebook.com/sylola/posts/748413415222091\n\n""When the Ebola patient escaped from Mattru Jong this weekend, the medical authorities in Bonthe immediately raised the alarm. They did not HIDE it. Neither did they DENY it or worst of all, INSULT those who spoke of the escape.""\n\nhttps://www.facebook.com/groups/sl.issues/permalink/699795853389539/","facebook",,,"2014-08-22T19:27:14.776300","2014-08-22T19:27:14.807057","2014-08-22T19:27:14.807071","facebook","https://www.facebook.com/sylola/posts/748413415222091","July 20\n\nPlease, help us to verify .\n\n""Another patient has escaped from an isolation unit in Sierra Leone. This time, the patient escaped from a health facility in Mattru Jong, Bonthe. The SAD news though is that unlike the escaped suspected patient from Freetown's PCMH, whose blood tests results later showed negative, this escaped patient's blood results have tested POSITIVE for Ebola. Reports however indicate that the escaped patient has been sighted vomiting blood at a certain junction locality between Mattru Jong and Bo. He has now been collected from that junction and moved to Kenema Ebola ward.""\n\nhttps://www.facebook.com/sylola/posts/748413415222091\n\n""When the Ebola patient escaped from Mattru Jong this weekend, the medical authorities in Bonthe immediately raised the alarm. They did not HIDE it. Neither did they DENY it or worst of all, INSULT those who spoke of the escape.""\n\nhttps://www.facebook.com/groups/sl.issues/permalink/699795853389539/","temporary",1,,,,,,"ebola|disease|disaster",-12.178688049316406,7.606872120756535
"GpFUAWHoQjKcAkCHk0822g","Before the 19th of June:\n""The first index case that came in to the country by passing through Sokoma village bordering with Guinea killed the MCHAID nurse that played with the first case at Koindu Kissy Teng chiefdom in Kailahun district.""\n\nhttp://awoko.org/2014/06/19/sierra-leone-news-kenema-matron-calls-for-support-to-tackle-ebola/","osm",,,"2014-08-22T19:27:14.582836","2014-08-22T19:27:14.601617","2014-08-22T19:27:14.601640","odbl","http://awoko.org/2014/06/19/sierra-leone-news-kenema-matron-calls-for-support-to-tackle-ebola/","Before the 19th of June:\n""The first index case that came in to the country by passing through Sokoma village bordering with Guinea killed the MCHAID nurse that played with the first case at Koindu Kissy Teng chiefdom in Kailahun district.""\n\nhttp://awoko.org/2014/06/19/sierra-leone-news-kenema-matron-calls-for-support-to-tackle-ebola/","temporary",1,,,,,,"ebola|death|confirmed|disease|disaster",-10.336761474609375,8.456072285927258
"5CAn48W_QlCzBBnJ1PkzGw","La maladie de la victime a commencé mardi par une plainte, puis des vomissements et des saignements avant de rendre l'âme, expliquent des sources présentes à Lola.\n\n\nMais dans une communauté profondément ancrée dans la tradition et les interprétations  superstitieuses, certains auraient conseillé de garder le corps quelques heures voire quelques jours, ""le temps de chercher le sorcier auteur de la mort du jeune"", selon nos informations.\n\nhttp://www.kaloumpresse.com/guinee-societe/71-societe/5387-ebola-un-cas-suspect-seme-la-panique-a-lola ","osm",,,"2014-08-22T19:27:14.331095","2014-08-22T19:27:14.506281","2014-08-22T19:27:14.506295","odbl","http://www.kaloumpresse.com/guinee-societe/71-societe/5387-ebola-un-cas-suspect-seme-la-panique-a-lola","La maladie de la victime a commencé mardi par une plainte, puis des vomissements et des saignements avant de rendre l'âme, expliquent des sources présentes à Lola.\n\n\nMais dans une communauté profondément ancrée dans la tradition et les interprétations  superstitieuses, certains auraient conseillé de garder le corps quelques heures voire quelques jours, ""le temps de chercher le sorcier auteur de la mort du jeune"", selon nos informations.\n\nhttp://www.kaloumpresse.com/guinee-societe/71-societe/5387-ebola-un-cas-suspect-seme-la-panique-a-lola ","temporary",1,,,,,,"ebola|death|disease|disaster",-8.537063598632812,7.775628172195805
"a845hOB5Tte3pQIQrQhe7w","31th of march 2014  news \n(27th of march 2014  - Press conference).\n\nMinistry of health.\n\nNo suspected cases for Ministry of Health but :\n- No WHO confirmation\n- No Ebola test\n\nhttp://www.afro.who.int/en/clusters-a-programmes/dpc/epidemic-a-pandemic-alert-and-response/outbreak-news/4069-ebola-haemorrhagic-fever-guinea-27-march-2014.html \n\n\n26th of march 2014 .\n\nDeath of 4 personns suspected in a village in Kambia district\n\nHe also revealed that a team was in Kambia to investigate the death of four persons in a village in the Braimaya Chiefdom, Kambia District, suspected to be caused by the Ebola viru\n\nhttp://allafrica.com/stories/201403270931.html \n\n"" Kambia district is one of the districts in Sierra Leone that  has close  border  to Guinean. ""\n\nhttp://mysierraleoneonline.com/sl_portal/site/news/detail/2430","osm",,,"2014-08-22T19:27:14.330019","2014-08-22T19:27:14.397242","2014-08-22T19:27:14.397253","odbl","http://www.afro.who.int/en/clusters-a-programmes/dpc/epidemic-a-pandemic-alert-and-response/outbreak-news/4069-ebola-haemorrhagic-fever-guinea-27-march-2014.html","31th of march 2014  news \n(27th of march 2014  - Press conference).\n\nMinistry of health.\n\nNo suspected cases for Ministry of Health but :\n- No WHO confirmation\n- No Ebola test\n\nhttp://www.afro.who.int/en/clusters-a-programmes/dpc/epidemic-a-pandemic-alert-and-response/outbreak-news/4069-ebola-haemorrhagic-fever-guinea-27-march-2014.html \n\n\n26th of march 2014 .\n\nDeath of 4 personns suspected in a village in Kambia district\n\nHe also revealed that a team was in Kambia to investigate the death of four persons in a village in the Braimaya Chiefdom, Kambia District, suspected to be caused by the Ebola viru\n\nhttp://allafrica.com/stories/201403270931.html \n\n"" Kambia district is one of the districts in Sierra Leone that  has close  border  to Guinean. ""\n\nhttp://mysierraleoneonline.com/sl_portal/site/news/detail/2430","temporary",1,,,,,,"ebola|death|disease|disaster",-12.917003631591795,9.12599541409702
"880hvAl1RVqXLW01_Qj1Jg","The investigation team documented the death of Sahr Laffalay (14-20 years), which occurred on 10th march 2014  2013(?) in the town of Fangamandu (Guékédou prefecture, Guinea). Prior to his death, Laffalay was in Guékédou town (Guékédou prefecture, Guinea) living in a compound where a cluster of Ebola-like deaths occurred including his grandfather, Fayiah Laffalay. The younger Laffalay transported his grandfather’s body to Boidu (Sowa chiefdom, Sierra Leone). During transport of the body and during his stay in Boidu, he developed fever and malaise. After approximately 5 days in Boidu, he moved to Fangamandu where he developed haemorrhagic signs including bleeding from the nose and mouth. On 10th march 2014 , after 2 days in Fangamandu, Laffalay died, was transported back to Boidu and buried. Fifteen close contacts of Sahr Laffalay were identified during the investigation and blood samples obtained for laboratory testing at KGH Lassa Fever Laboratory. None of the close contacts reported any current illness.  We are awaiting confirmation of laboratory tests.\n\nhttp://www.salonepost.com/sp/news/articles/article191.asp ","osm",,,"2014-08-22T19:27:14.330759","2014-08-22T19:27:14.464640","2014-08-22T19:27:14.464651","odbl","http://www.salonepost.com/sp/news/articles/article191.asp","The investigation team documented the death of Sahr Laffalay (14-20 years), which occurred on 10th march 2014  2013(?) in the town of Fangamandu (Guékédou prefecture, Guinea). Prior to his death, Laffalay was in Guékédou town (Guékédou prefecture, Guinea) living in a compound where a cluster of Ebola-like deaths occurred including his grandfather, Fayiah Laffalay. The younger Laffalay transported his grandfather’s body to Boidu (Sowa chiefdom, Sierra Leone). During transport of the body and during his stay in Boidu, he developed fever and malaise. After approximately 5 days in Boidu, he moved to Fangamandu where he developed haemorrhagic signs including bleeding from the nose and mouth. On 10th march 2014 , after 2 days in Fangamandu, Laffalay died, was transported back to Boidu and buried. Fifteen close contacts of Sahr Laffalay were identified during the investigation and blood samples obtained for laboratory testing at KGH Lassa Fever Laboratory. None of the close contacts reported any current illness.  We are awaiting confirmation of laboratory tests.\n\nhttp://www.salonepost.com/sp/news/articles/article191.asp ","temporary",1,,,,,,"ebola|death|disease|disaster",-10.59356689453125,8.483238563913513
