SITUATION REPORT,,,,,,,,,,,,,,,,,,
"RE-OCCURANCE  OF EBOLA VIRUS DISEASE EPIDEMIC IN LIBERIA SINCE THE 29th MAY, 2014",,,,,,,,,,,,,,,,,,
Edition: No. 103. Reporting period: Aug 26th 2014 as at 23:00 Hours ,,,,,,,,,,,,,,,,,,
"Table 1:                                                               Summary Statistic from May 29-Aug 26, 2014",,,,,,,,,,,,,,,,,,
,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County,,
New Cases,,,,,,,,,,,,,,,,,,
New Case/s (Suspected),28,0,4,0,0,0,0,0,0,9,0,14,1,0,0,0,,
New Case/s (Probable),37,0,2,0,1,0,0,0,15,10,0,8,1,0,0,0,,
New case/s (confirmed) ,19,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,,
Total suspected cases,425,1,76,0,7,1,2,0,63,98,0,156,15,5,0,1,,
Total probable cases,696,24,32,0,2,3,0,0,305,58,0,227,45,0,0,0,,
Total confirmed cases,342,21,20,0,7,4,0,0,189,27,0,44,28,0,1,1,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,,
Total Number of Confirmed Cases of Guinean Nationality,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
"Cumulative (confirmed, probable, suspected) cases",1463,46,128,0,16,8,2,0,557,183,0,427,88,5,1,2,,
,,,,,,,,,,,,,,,,,,
Health Care workers,,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW on 26th Aug 2014,5,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,,
Cumulative  cases among HCW ,137,5,26,0,3,3,0,0,20,30,0,48,2,0,0,0,,
Newly Reported deaths in HCW on 26th Aug 2014,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,,
Cumulative  deaths among HCW ,70,4,5,0,0,0,0,0,17,18,0,26,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
Isolation and Discharges,,,,,,,,,,,,,,,,,,
New Admission on Aug 26 2014,34,0,0,0,0,0,0,0,15,0,0,19,0,0,0,0,,
Total no. currently in Treatment Units,260,0,0,0,0,0,0,0,65,0,0,195,0,0,0,0,,
Total discharges on 26th Aug 2014,10,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,,
Cumulative admission/isolation ,260,0,0,0,0,0,0,0,65,0,0,195,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
Deaths ,,,,,,,,,,,,,,,,,,
Newly reported deaths 26th Aug 2014,52,0,1,0,0,0,0,0,8,8,0,35,0,0,0,0,,
Total death/s in confirmed cases,307,19,11,0,1,4,0,0,124,23,0,103,22,0,0,0,,
Total death/s in probable cases,322,10,12,0,1,1,0,0,120,40,0,111,26,0,1,0,,
Total death/s in suspected cases,194,0,17,0,0,2,1,0,34,30,0,99,6,5,0,0,,
"Total death/s in confirmed, probable, suspected cases",823,29,40,0,2,7,1,0,278,93,0,313,54,5,1,0,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,60.6,64.4,44.2,0.0,22.2,71.4,0.0,0.0,49.4,74.1,0.0,79.0,65.8,0.0,100.0,0.0,,
,,,,,,,,,,,,,,,,,,
Contacts,,,,,,,,,,,,,,,,,,
Newly reported contacts on 26th Aug 2014,315,0,10,0,0,0,0,0,35,179,0,79,12,0,0,0,,
Total contacts listed ,4364,64,410,0,32,31,0,0,717,588,0,2246,270,0,6,0,,
Currently under follow-up,2835,54,228,0,32,27,0,0,450,594,0,1360,86,0,4,0,,
Contacts seen on 26th Aug 2014,2462,0,228,0,32,0,0,0,450,594,0,1072,86,0,0,0,,
Contacts who completed 21 day follow-up,97,0,0,0,0,0,0,0,65,0,0,32,0,0,0,0,,
Contacts lost to follow-up,28,0,2,0,0,0,0,0,0,0,0,26,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
Laboratory ,,,,,,,,,,,,,,,,,,
Specimens collected on 26th Aug 2014,33,0,1,0,1,0,0,0,29,0,0,0,2,0,0,0,,
Specimens pending for testing ,33,0,1,0,1,0,0,0,29,0,0,0,2,0,0,0,,
Total specimens tested,31,0,0,0,0,0,0,0,26,0,0,0,5,0,0,0,,
,,,,,,,,,,,,,,,,,,
Key dates (Date/Month),,,,,,,,,,,,,,,,,,
Probable start date of onset of symptoms of the index case,20/5,0,0,0,0,0,0,0,20/5,0,0,0,0,0,0,0,,
Date of admission/isolation,23/5,0,0,0,0,0,0,0,23/5,0,0,0,0,0,0,0,,
Date of death of probable or confirmed index case,25/5,0,0,0,0,0,0,0,25/5,0,0,0,0,0,0,0,,
Date of first Laboratory confirmed case,06/6,0,0,0,0,0,0,0,06/6,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table 2:                                         Ebola Disease Outbreak in Liberia 1st Wave (March 22 -),,,,,,,,,,,,,,,,,,
Cases,,,,,,,,,,,,,,,,,,
Total Case/s (Suspected),18,0,5,0,0,1,1,0,4,2,0,3,2,0,0,0,,
Total Case/s (Probable),2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
Total case/s (confirmed) ,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,
"Cumulative (confirmed, probable, suspected) cases",26,0,5,0,0,1,1,0,10,4,0,3,2,0,0,0,,
,,,,,,,,,,,,,,,,,,
Health Care Workers,,,,,,,,,,,,,,,,,,
Cumulative  cases among HCW ,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
Cumulative  deaths among HCW ,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,
Deaths,,,,,,,,,,,,,,,,,,
Total death/s in confirmed cases,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,
Total death/s in probable cases,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
Total death/s in suspected cases,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,
"Total death/s in confirmed, probable, suspected cases",11,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,,
CFR 1st Wave (March 22 - ),100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 3:                                         Cumulative Ebola Disease Outbreak in Liberia (March 22 -Aug 26, 2014)",,,,,,,,,,,,,,,,,,
