,New Case/s (Suspected),New Case/s (Probable),New case/s (confirmed) ,Total suspected cases,Total probable cases,Total confirmed cases,Total Number of Confirmed Cases of Sierra Leonean Nationality,Total Number of Confirmed Cases of Guinean Nationality,"Cumulative (confirmed, probable, suspected) cases"
National,16,13,0,398,675,322,13,1,1395
Bomi County,0,0,0,1,24,21,0,0,46
Bong County,4,0,0,72,30,20,0,0,122
Gbarpolu County,0,0,0,0,0,0,0,0,0
Grand Bassa,0,0,0,8,1,6,0,0,15
Grand Cape Mount,0,0,0,1,3,4,2,0,8
Grand Gedeh,0,0,0,2,0,0,0,0,2
Grand Kru,0,0,0,0,0,0,0,0,0
Lofa County,0,11,0,63,306,173,11,0,542
Margibi County,0,0,0,89,48,27,0,0,164
Maryland County,0,0,0,0,0,0,0,0,0
Montserrado County,8,1,0,142,219,44,0,1,405
Nimba County,0,1,0,14,44,25,0,0,83
River Gee County,4,0,0,5,0,0,0,0,5
RiverCess County,0,0,0,0,0,1,0,0,1
Sinoe County,0,0,0,1,0,1,0,0,2
