,Newly reported deaths 25th Aug 2014,Total death/s in confirmed cases,Total death/s in probable cases,Total death/s in suspected cases,"Total death/s in confirmed, probable, suspected cases",Case Fatality Rate (CFR) - Confirmed & Probable Cases
National,28,280,309,182,771,0.0
Bomi County,0,19,10,0,29,0.0
Bong County,5,11,11,17,39,0.0
Gbarpolu County,0,0,0,0,0,0.0
Grand Bassa,0,1,1,0,2,0.0
Grand Cape Mount,0,4,1,2,7,0.0
Grand Gedeh,0,0,0,1,1,0.0
Grand Kru,0,0,0,0,0,0.0
Lofa County,10,119,117,34,270,0.0
Margibi County,0,23,34,28,85,0.0
Maryland County,0,0,0,0,0,0.0
Montserrado County,5,81,108,89,278,0.0
Nimba County,4,22,26,6,54,0.0
River Gee County,4,0,0,5,5,0.0
RiverCess County,0,0,1,0,1,0.0
Sinoe County,0,0,0,0,0,0.0
