,Date,TC  Total Cases,TD  Total Deaths,CC  Confirmed Cases,CD  Confirmed Deaths,PC  Probable Cases,PD  Probable Deaths,SC  Suspect Cases ,SD  Suspect Deaths,NTC  New Total Cases,NTD  New Total Deaths,NCC  New Confirmed Cases,NCD  New Confirmed Deaths,NPC  New Probable Cases,NPD  New Probable Deaths,NSC  New Suspect Cases,NSD  New Suspect Deaths,HTC  HCW Total Cases,HTD HCW Total Deaths,HCC HCW Confirmed Cases,HCD  HCW Confirmed Deaths,HPC  HCW Probable Cases,HPD  HCW Probable Deaths,HSC  HCW Suspect Cases ,HSD  HCW Suspect Deaths,TCo Total Contacts,CoC Contacts Completed Follow-Up,CoF Contacts Under Follow-Up
National,26-Mar-14,8,4,0,0,0,0,8,0,8,4,0,0,0,0,8,0,0,0,,,,,,,27,,27
National,27-Mar-14,8,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,28-Mar-14,8,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,29-Mar-14,8,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,30-Mar-14,8,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,31-Mar-14,8,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,1-Apr-14,10,4,2,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,,,,,,,,,
National,2-Apr-14,14,4,2,0,0,0,12,0,4,0,0,0,0,0,4,0,0,0,,,,,,,,,
National,3-Apr-14,14,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,4-Apr-14,18,7,2,0,0,0,12,0,4,3,0,0,0,0,0,0,0,0,,,,,,,,,
National,5-Apr-14,18,7,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,6-Apr-14,18,7,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,7-Apr-14,21,10,5,0,0,0,12,0,3,3,3,0,0,0,0,0,0,0,,,,,,,,,
National,8-Apr-14,21,10,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,9-Apr-14,22,12,5,0,0,0,20,0,1,2,0,0,0,0,8,0,0,0,,,,,,,,,
National,10-Apr-14,25,12,5,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,11-Apr-14,25,13,6,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,
National,12-Apr-14,25,13,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,13-Apr-14,25,13,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,14-Apr-14,25,13,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,15-Apr-14,25,13,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,16-Apr-14,27,13,6,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,17-Apr-14,27,13,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,18-Apr-14,27,13,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
National,19-Apr-14,33,9,6,6,2,2,25,1,6,-4,0,6,2,2,5,1,2,2,,,,,,,156,41,115
National,20-Apr-14,33,13,6,6,2,2,25,1,0,4,0,0,0,0,0,0,2,2,,,,,,,,,
National,21-Apr-14,33,13,6,6,2,2,25,1,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,22-Apr-14,34,11,6,6,2,2,25,1,1,-2,0,0,0,0,0,0,2,2,,,,,,,,,
National,23-Apr-14,34,11,6,6,2,2,25,1,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,24-Apr-14,35,11,6,6,2,2,27,3,1,0,0,0,0,0,2,2,2,2,,,,,,,192,78,114
National,25-Apr-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,26-Apr-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,27-Apr-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,28-Apr-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,29-Apr-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,192,162,22
National,30-Apr-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,1-May-14,35,11,6,6,2,2,27,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,2-May-14,13,11,6,6,2,2,5,3,-22,0,0,0,0,0,-22,0,2,2,,,,,,,141,131,8
National,3-May-14,13,11,6,6,2,2,5,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,4-May-14,13,11,6,6,2,2,5,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,5-May-14,13,11,6,6,2,2,5,3,0,0,0,0,0,0,0,0,2,2,,,,,,,152,118,0
National,6-May-14,13,11,6,6,2,2,5,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,7-May-14,13,11,6,6,2,2,5,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,8-May-14,13,11,6,6,2,2,5,3,0,0,0,0,0,0,0,0,2,2,,,,,,,,,
National,9-May-14,12,11,6,6,2,2,4,3,-1,0,0,0,0,0,-1,0,2,2,,,,,,,152,118,0
